Freq(Hz)	Mag_Ideal(dB)	Phase_Ideal(deg)	Mag_Real(dB)	Phase_Real(deg)
2.51188643150959e+05	-5.21236242741656e+01	8.76016540416366e+01	-5.18324833986946e+01	8.76008404835235e+01
3.16227766016839e+05	-5.32489104724636e+01	8.69959515763342e+01	-5.29853386954418e+01	8.69943731836874e+01
3.98107170553499e+05	-5.40221741740960e+01	8.62449064753633e+01	-5.37929977021349e+01	8.62423583428531e+01
5.01187233627275e+05	-5.43776231878698e+01	8.53133118524731e+01	-5.41877242649939e+01	8.53097114907480e+01
6.30957344480196e+05	-5.42827555334822e+01	8.41551545117613e+01	-5.41334233755791e+01	8.41506389131946e+01
7.94328234724285e+05	-5.37509789306378e+01	8.27107742350936e+01	-5.36394229988537e+01	8.27056909851804e+01
1.00000000000000e+06	-5.28381029301260e+01	8.09053413617699e+01	-5.27584800169769e+01	8.09001230157234e+01
1.25892541179417e+06	-5.16256353651088e+01	7.86488334912900e+01	-5.15708712452374e+01	7.86438501923950e+01
1.58489319246112e+06	-5.02019750876224e+01	7.58374155815967e+01	-5.01653505829565e+01	7.58328973178826e+01
1.99526231496889e+06	-4.86503647709742e+01	7.23572882902055e+01	-4.86263623480882e+01	7.23533269373556e+01
2.51188643150959e+06	-4.70452921574318e+01	6.80937392471731e+01	-4.70297861386899e+01	6.80903306319907e+01
3.16227766016839e+06	-4.54542441995945e+01	6.29489104521787e+01	-4.54443323978501e+01	6.29460005089324e+01
3.98107170553499e+06	-4.39405718721064e+01	5.68700856348520e+01	-4.39342922552755e+01	5.68676054353472e+01
5.01187233627275e+06	-4.25638506774611e+01	4.98838503823833e+01	-4.25599102740366e+01	4.98817380087039e+01
6.30957344480196e+06	-4.13757537129710e+01	4.21201272069629e+01	-4.13733137684106e+01	4.21183381437331e+01
7.94328234724285e+06	-4.04126097706486e+01	3.38023851284235e+01	-4.04111306487186e+01	3.38008929220917e+01
1.00000000000001e+07	-3.96895600857395e+01	2.51925896578049e+01	-3.96886953409065e+01	2.51913796693077e+01
1.25892541179417e+07	-3.92017616673535e+01	1.65129398775355e+01	-3.92012883858520e+01	1.65120009446228e+01
1.58489319246112e+07	-3.89333452872321e+01	7.88974082656651e+00	-3.89331193757799e+01	7.88905926898123e+00
1.99526231496889e+07	-3.88691821928166e+01	-6.50045141764634e-01	-3.88691099365961e+01	-6.50488046920424e-01
2.00000000000000e+07	-3.88695532606655e+01	-7.37653983670642e-01	-3.88694822237275e+01	-7.38094547564702e-01
