Freq.	gain	phase
4.46683592150962e-02	-3.44567511955062e-02	-5.10012074837959e+00
4.57088189614874e-02	-3.60739217861623e-02	-5.21826937787248e+00
4.67735141287197e-02	-3.77666621090051e-02	-5.33912398404108e+00
4.78630092322637e-02	-3.95384719626003e-02	-5.46274434159188e+00
4.89778819368445e-02	-4.13930102148543e-02	-5.58919138936938e+00
5.01187233627271e-02	-4.33341017451441e-02	-5.71852724170981e+00
5.12861383991364e-02	-4.53657446618142e-02	-5.85081519899841e+00
5.24807460249771e-02	-4.74921178033152e-02	-5.98611975734384e+00
5.37031796370252e-02	-4.97175885311633e-02	-6.12450661727699e+00
5.49540873857623e-02	-5.20467208228332e-02	-6.26604269137569e+00
5.62341325190348e-02	-5.44842836726390e-02	-6.41079611070955e+00
5.75439937337156e-02	-5.70352598083883e-02	-6.55883622999270e+00
5.88843655355588e-02	-5.97048547315514e-02	-6.71023363132480e+00
6.02559586074356e-02	-6.24985060881999e-02	-6.86506012639294e+00
6.16595001861481e-02	-6.54218933778644e-02	-7.02338875699908e+00
6.30957344480192e-02	-6.84809480068606e-02	-7.18529379376958e+00
6.45654229034654e-02	-7.16818636922969e-02	-7.35085073289429e+00
6.60693448007594e-02	-7.50311072223294e-02	-7.52013629073389e+00
6.76082975391980e-02	-7.85354295775691e-02	-7.69322839612485e+00
6.91830970918935e-02	-8.22018774178640e-02	-7.87020618020131e+00
7.07945784384136e-02	-8.60378049377163e-02	-8.05114996354347e+00
7.24435960074988e-02	-9.00508860926230e-02	-8.23614124045164e+00
7.41310241300916e-02	-9.42491271975623e-02	-8.42526266013431e+00
7.58577575029182e-02	-9.86408798975032e-02	-8.61859800458796e+00
7.76247116628690e-02	-1.03234854508439e-01	-8.81623216293495e+00
7.94328234724279e-02	-1.08040133725881e-01	-9.01825110197487e+00
8.12830516164097e-02	-1.13066186695907e-01	-9.22474183269290e+00
8.31763771102669e-02	-1.18322883442020e-01	-9.43579237245765e+00
8.51138038202374e-02	-1.23820509638805e-01	-9.65149170262911e+00
8.70963589956078e-02	-1.29569781721111e-01	-9.87192972128621e+00
8.91250938133743e-02	-1.35581862314756e-01	-1.00971971907720e+01
9.12010839355907e-02	-1.41868375972042e-01	-1.03273856797434e+01
9.33254300796988e-02	-1.48441425192174e-01	-1.05625874994028e+01
9.54992586021433e-02	-1.55313606703308e-01	-1.08028956335762e+01
9.77237220955808e-02	-1.62498027979355e-01	-1.10484036622972e+01
9.99999999999997e-02	-1.70008323960657e-01	-1.12992056785429e+01
1.02329299228075e-01	-1.77858673943386e-01	-1.15553961977640e+01
1.04712854805090e-01	-1.86063818597999e-01	-1.18170700598423e+01
1.07151930523760e-01	-1.94639077072116e-01	-1.20843223231062e+01
1.09647819614318e-01	-2.03600364127950e-01	-1.23572481500282e+01
1.12201845430196e-01	-2.12964207258883e-01	-1.26359426842306e+01
1.14815362149688e-01	-2.22747763723815e-01	-1.29205009184244e+01
1.17489755493953e-01	-2.32968837431675e-01	-1.32110175529088e+01
1.20226443461741e-01	-2.43645895601893e-01	-1.35075868442676e+01
1.23026877081238e-01	-2.54798085119676e-01	-1.38103024439054e+01
1.25892541179416e-01	-2.66445248497772e-01	-1.41192572260802e+01
1.28824955169313e-01	-2.78607939348800e-01	-1.44345431051073e+01
1.31825673855640e-01	-2.91307437264470e-01	-1.47562508414278e+01
1.34896288259165e-01	-3.04565761990045e-01	-1.50844698362621e+01
1.38038426460288e-01	-3.18405686774089e-01	-1.54192879146017e+01
1.41253754462275e-01	-3.32850750765302e-01	-1.57607910963250e+01
1.44543977074592e-01	-3.47925270319717e-01	-1.61090633552694e+01
1.47910838816820e-01	-3.63654349073152e-01	-1.64641863661393e+01
1.51356124843620e-01	-3.80063886625442e-01	-1.68262392391857e+01
1.54881661891248e-01	-3.97180585674709e-01	-1.71952982426566e+01
1.58489319246111e-01	-4.15031957432025e-01	-1.75714365130882e+01
1.62181009735892e-01	-4.33646325139317e-01	-1.79547237535876e+01
1.65958690743755e-01	-4.53052825506142e-01	-1.83452259203402e+01
1.69824365246174e-01	-4.73281407874794e-01	-1.87430048976772e+01
1.73780082874937e-01	-4.94362830917446e-01	-1.91481181621372e+01
1.77827941003892e-01	-5.16328656664522e-01	-1.95606184360720e+01
1.81970085860998e-01	-5.39211241660040e-01	-1.99805533314671e+01
1.86208713666286e-01	-5.63043725037557e-01	-2.04079649847774e+01
1.90546071796324e-01	-5.87860013309863e-01	-2.08428896837162e+01
1.94984459975804e-01	-6.13694761666749e-01	-2.12853574870805e+01
1.99526231496887e-01	-6.40583351578401e-01	-2.17353918388498e+01
2.04173794466952e-01	-6.68561864507364e-01	-2.21930091779488e+01
2.08929613085403e-01	-6.97667051539792e-01	-2.26582185452333e+01
