Freq.	gain	phase
1.86208713666286e-01	-5.63571737172935e-01	-2.04066684284005e+01
1.90546071796324e-01	-5.88409757293633e-01	-2.08415083179212e+01
1.94984459975804e-01	-6.14266997631179e-01	-2.12838861095940e+01
1.99526231496887e-01	-6.41178855129539e-01	-2.17338249647823e+01
2.04173794466952e-01	-6.69181426109024e-01	-2.21913410281493e+01
2.08929613085403e-01	-6.98311475806881e-01	-2.26564430345282e+01
2.13796208950222e-01	-7.28606403654537e-01	-2.31291319147736e+01
2.18776162394954e-01	-7.60104204126108e-01	-2.36094004024881e+01
2.23872113856833e-01	-7.92843423009051e-01	-2.40972326436840e+01
2.29086765276776e-01	-8.26863108967189e-01	-2.45926038116090e+01
2.34422881531991e-01	-8.62202760289021e-01	-2.50954797291231e+01
2.39883291901948e-01	-8.98902266740238e-01	-2.56058165011704e+01
2.45470891568502e-01	-9.37001846468831e-01	-2.61235601600324e+01
2.51188643150957e-01	-9.76541977944014e-01	-2.66486463261830e+01
2.57039578276885e-01	-1.01756332694647e+00	-2.71809998876801e+01
2.63026799189537e-01	-1.06010666866695e+00	-2.77205347011265e+01
2.69153480392690e-01	-1.10421280501276e+00	-2.82671533173083e+01
2.75422870333815e-01	-1.14992247726733e+00	-2.88207467346650e+01
2.81838293126444e-01	-1.19727627429569e+00	-2.93811941837689e+01
2.88403150312659e-01	-1.24631453653900e+00	-2.99483629459776e+01
2.95120922666637e-01	-1.29707725609275e+00	-3.05221082093754e+01
3.01995172040200e-01	-1.34960397321603e+00	-3.11022729650361e+01
3.09029543251358e-01	-1.40393366967227e+00	-3.16886879465140e+01
3.16227766016836e-01	-1.46010465935452e+00	-3.22811716153018e+01
3.23593656929627e-01	-1.51815447670025e+00	-3.28795301947888e+01
3.31131121482589e-01	-1.57811976344994e+00	-3.34835577549939e+01
3.38844156139201e-01	-1.64003615435088e+00	-3.40930363500581e+01
3.46736850452530e-01	-1.70393816245055e+00	-3.47077362101366e+01
3.54813389233574e-01	-1.76985906466250e+00	-3.53274159889594e+01
3.63078054770100e-01	-1.83783078832065e+00	-3.59518230679046e+01
3.71535229097171e-01	-1.90788379946440e+00	-3.65806939169879e+01
3.80189396320559e-01	-1.98004699361635e+00	-3.72137545126844e+01
3.89045144994279e-01	-2.05434758982601e+00	-3.78507208120034e+01
3.98107170553495e-01	-2.13081102875554e+00	-3.84912992817109e+01
4.07380277804111e-01	-2.20946087557779e+00	-3.91351874810671e+01
4.16869383470333e-01	-2.29031872844120e+00	-3.97820746959122e+01
4.26579518801590e-01	-2.37340413323114e+00	-4.04316426214044e+01
4.36515832240164e-01	-2.45873450532270e+00	-4.10835660901988e+01
4.46683592150961e-01	-2.54632505897574e+00	-4.17375138423639e+01
4.57088189614873e-01	-2.63618874497004e+00	-4.23931493328682e+01
4.67735141287196e-01	-2.72833619701674e+00	-4.30501315720456e+01
4.78630092322636e-01	-2.82277568741260e+00	-4.37081159940669e+01
4.89778819368444e-01	-2.91951309232773e+00	-4.43667553481227e+01
5.01187233627270e-01	-3.01855186703460e+00	-4.50257006067508e+01
5.12861383991362e-01	-3.11989303129996e+00	-4.56846018855415e+01
5.24807460249770e-01	-3.22353516507049e+00	-4.63431093683160e+01
5.37031796370250e-01	-3.32947441449115e+00	-4.70008742318075e+01
5.49540873857622e-01	-3.43770450820200e+00	-4.76575495638819e+01
5.62341325190346e-01	-3.54821678376755e+00	-4.83127912694121e+01
5.75439937337154e-01	-3.66100022400261e+00	-4.89662589580645e+01
5.88843655355586e-01	-3.77604150287283e+00	-4.96176168084752e+01
6.02559586074354e-01	-3.89332504056622e+00	-5.02665344035673e+01
6.16595001861479e-01	-4.01283306725737e+00	-5.09126875320969e+01
6.30957344480190e-01	-4.13454569501722e+00	-5.15557589519044e+01
6.45654229034652e-01	-4.25844099726153e+00	-5.21954391107767e+01
6.60693448007592e-01	-4.38449509507900e+00	-5.28314268212947e+01
6.76082975391978e-01	-4.51268224973793e+00	-5.34634298865419e+01
6.91830970918932e-01	-4.64297496063698e+00	-5.40911656740605e+01
7.07945784384134e-01	-4.77534406794218e+00	-5.47143616359796e+01
7.24435960074986e-01	-4.90975885913848e+00	-5.53327557737670e+01
7.41310241300913e-01	-5.04618717871947e+00	-5.59460970465891e+01
7.58577575029179e-01	-5.18459554024344e+00	-5.65541457227811e+01
7.76247116628687e-01	-5.32494923999642e+00	-5.71566736744267e+01
7.94328234724277e-01	-5.46721247152386e+00	-5.77534646155238e+01
8.12830516164094e-01	-5.61134844032008e+00	-5.83443142846551e+01
8.31763771102666e-01	-5.75731947799843e+00	-5.89290305734940e+01
8.51138038202371e-01	-5.90508715530472e+00	-5.95074336028467e+01
8.70963589956075e-01	-6.05461239338000e+00	-6.00793557482652e+01
8.91250938133740e-01	-6.20585557272628e+00	-6.06446416175515e+01
9.12010839355904e-01	-6.35877663937890e+00	-6.12031479827232e+01
9.33254300796985e-01	-6.51333520784078e+00	-6.17547436692093e+01
9.54992586021430e-01	-6.66949066038728e+00	-6.22993094052068e+01
9.77237220955805e-01	-6.82720224240258e+00	-6.28367376342461e+01
9.99999999999994e-01	-6.98642915346199e+00	-6.33669322940934e+01
1.02329299228075e+00	-7.14713063392513e+00	-6.38898085651555e+01
1.04712854805089e+00	-7.30926604685531e+00	-6.44052925915645e+01
1.07151930523760e+00	-7.47279495512766e+00	-6.49133211780908e+01
1.09647819614318e+00	-7.63767719363361e+00	-6.54138414659814e+01
1.12201845430196e+00	-7.80387293653155e+00	-6.59068105907405e+01
1.14815362149688e+00	-7.97134275953219e+00	-6.63921953247712e+01
1.17489755493952e+00	-8.14004769724329e+00	-6.68699717076761e+01
